ID	loyaltyVirtue_base	authorityVice_base	loyaltyVice_base	fairnessVice_base	careVirtue_base	authorityVirtue_base	sancityVice_base	sancityVirtue_base	careVice_base	fairnessVirtue_base
1	0.3659084481920161	0.30221738553591093	0.26279707122998786	0.2864317778515596	0.340099671074515	0.382741988252934	0.16465528929986012	0.24521941010994053	0.38051512381101277	0.29559641351306876
2	0.3378317334091922	0.2979610716397828	0.3304511849780973	0.31323088545699407	0.3194571703666751	0.2997223934754089	0.1422972640554675	0.2275423276185539	0.30541826651759385	0.2487515099857066
3	0.3112001785826678	0.1640247410303606	0.14732002660566962	0.15835174762756027	0.23999027423014624	0.2849329204421399	0.08765414700293717	0.2079345866856033	0.18239975673059644	0.24159099701565726
4	0.30050849387178613	0.27310923262823394	0.2728295766484293	0.30692116202376996	0.24639023018128178	0.3481850490173986	0.15400458872711403	0.23284844635123195	0.32081612961951583	0.29785916993543066
5	0.24943946191908234	0.18653338900954425	0.20107835982012398	0.20535285465450487	0.20988848315668643	0.19448550397525177	0.148866165775766	0.23150335592316407	0.2757800778430459	0.18139013438725407
6	0.2859873775516888	0.2605192116864476	0.29637486031137944	0.298709608580692	0.21726684613744612	0.29407443019192286	0.12510664847467506	0.1880941122283463	0.23044412619361013	0.26798840753794145
7	0.21823691919778446	0.22378167512156916	0.18423884415657837	0.30665758198784265	0.25321404526496705	0.3112596286539042	0.12758477669958465	0.20919953995224846	0.3024854112673923	0.28828325869904564
8	0.2349421001493905	0.2552587423941039	0.15920896629086392	0.3148021711386327	0.3291268174901806	0.2857669061763617	0.20012702232297214	0.2009489770674572	0.4312253787978839	0.2632863735270677
9	0.2884823968306824	0.21093008458321408	0.1840815962100635	0.23315997089051024	0.35705334030714975	0.22306781837858533	0.16492669458111162	0.22275591437501857	0.2527784005177431	0.29940892921471823
10	0.2433544825417446	0.24347860876665303	0.2067232410777807	0.2644834066915214	0.19824749648680018	0.2898611779892594	0.1632989223508598	0.19015449594850234	0.2336370826384456	0.28118944681021213
11	0.27991798164138587	0.2610025255695572	0.2963044198407014	0.32353351953976744	0.23854789892779157	0.30172712661426804	0.20279685985410464	0.2220962306379481	0.2847168219516763	0.246865591450969
12	0.2565215167966852	0.20294642836217264	0.18371819725897579	0.24628071252972503	0.22985406795385688	0.2612805120428434	0.09223639950228602	0.1427022172619761	0.2521720075851325	0.22016449951579853
13	0.21900033841949607	0.2947402587145622	0.2989033348716113	0.3133711998759481	0.2260349699904432	0.29804817055365246	0.2066987369199435	0.18516218935647363	0.3201384511178818	0.2893122724977198
14	0.345083089374545	0.3417222070749666	0.3188932536798906	0.42634356409072544	0.28616567628158734	0.36677514303802733	0.20173519895395609	0.27331560680345046	0.3657137277831117	0.43100163840160766
15	0.2664915404469879	0.2197069616246627	0.1408481541671057	0.24744686788840686	0.2694814620441532	0.20208369454123096	0.15413520371535044	0.08713173000803573	0.21007489957696818	0.14028298209110107
16	0.29954739033201583	0.21686971346233352	0.1712051249615346	0.28723043254896996	0.2820186418250775	0.32307369381739265	0.21867273396770656	0.297639590281527	0.3599649184361002	0.30568794514278286
17	0.30064268245491543	0.19397789571379248	0.17833343688458858	0.2601893830870318	0.3488565898827187	0.32398542423624616	0.1332775537900498	0.29627060286007134	0.33777532578604297	0.3382237902728784
18	0.2858168415484357	0.2616668926927399	0.2518618799687228	0.321866939532181	0.31735845265482465	0.3051071329977917	0.1759990649116474	0.22615488294808697	0.36499159356100863	0.28879504436771936
19	0.14426264067357827	0.2659181566972359	0.23981537999731373	0.27182163376463836	0.13538996634363176	0.2417897899197164	0.13311149525684837	0.10894043125999475	0.25833068175478535	0.19720035893924193
